"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep Learning Acceleration with Neuron-to-Memory Transformation","M. Imani; M. Samragh Razlighi; Y. Kim; S. Gupta; F. Koushanfar; T. Rosing","University of California San Diego, La Jolla, CA, USA; University of California San Diego, La Jolla, CA, USA; University of California San Diego, La Jolla, CA, USA; University of California San Diego, La Jolla, CA, USA; University of California San Diego, La Jolla, CA, USA; University of California San Diego, La Jolla, CA, USA",2020 IEEE International Symposium on High Performance Computer Architecture (HPCA),"16 Apr 2020","2020","","","1","14","Deep neural networks (DNN) have demonstrated effectiveness for various applications such as image processing, video segmentation, and speech recognition. Running state-of-theart DNNs on current systems mostly relies on either generalpurpose processors, ASIC designs, or FPGA accelerators, all of which suffer from data movements due to the limited on-chip memory and data transfer bandwidth. In this work, we propose a novel framework, called RAPIDNN, which performs neuron-to-memory transformation in order to accelerate DNNs in a highly parallel architecture. RAPIDNN reinterprets a DNN model and maps it into a specialized accelerator, which is designed using non-volatile memory blocks that model four fundamental DNN operations, i.e., multiplication, addition, activation functions, and pooling. The framework extracts representative operands of a DNN model, e.g., weights and input values, using clustering methods to optimize the model for in-memory processing. Then, it maps the extracted operands and their pre-computed results into the accelerator memory blocks. At runtime, the accelerator identifies computation results based on efficient in-memory search capability which also provides tunability of approximation to improve computation efficiency further. Our evaluation shows that RAPIDNN achieves 68.4×, 49.5× energy efficiency improvement and 48.1×, 10.9× speedup as compared to ISAAC and PipeLayer, the state-of-the-art DNN accelerators, while ensuring less than 0.5% quality loss.","2378-203X","978-1-7281-6149-5","10.1109/HPCA47549.2020.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065564","","Computational modeling;Neurons;Biological neural networks;Acceleration;RNA;Task analysis","","19","","90","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"HyGCN: A GCN Accelerator with Hybrid Architecture","M. Yan; L. Deng; X. Hu; L. Liang; Y. Feng; X. Ye; Z. Zhang; D. Fan; Y. Xie","State Key Laboratory of Computer Architecture, Chinese Academy of Sciences; University of California, Santa Barbara; University of California, Santa Barbara; University of California, Santa Barbara; State Key Laboratory of Computer Architecture, Chinese Academy of Sciences; Chinese Academy of Sciences; State Key Laboratory of Computer Architecture, Chinese Academy of Sciences; State Key Laboratory of Computer Architecture, Chinese Academy of Sciences; University of California, Santa Barbara",2020 IEEE International Symposium on High Performance Computer Architecture (HPCA),"16 Apr 2020","2020","","","15","29","Inspired by the great success of neural networks, graph convolutional neural networks (GCNs) are proposed to analyze graph data. GCNs mainly include two phases with distinct execution patterns. The Aggregation phase, behaves as graph processing, showing a dynamic and irregular execution pattern. The Combination phase, acts more like the neural networks, presenting a static and regular execution pattern. The hybrid execution patterns of GCNs require a design that alleviates irregularity and exploits regularity. Moreover, to achieve higher performance and energy efficiency, the design needs to leverage the high intra-vertex parallelism in Aggregation phase, the highly reusable inter-vertex data in Combination phase, and the opportunity to fuse phase-by-phase execution introduced by the new features of GCNs. However, existing architectures fail to address these demands. In this work, we first characterize the hybrid execution patterns of GCNs on Intel Xeon CPU. Guided by the characterization, we design a GCN accelerator, HyGCN, using a hybrid architecture to efficiently perform GCNs. Specifically, first, we build a new programming model to exploit the fine-grained parallelism for our hardware design. Second, we propose a hardware design with two efficient processing engines to alleviate the irregularity of Aggregation phase and leverage the regularity of Combination phase. Besides, these engines can exploit various parallelism and reuse highly reusable data efficiently. Third, we optimize the overall system via inter-engine pipeline for inter-phase fusion and priority-based off-chip memory access coordination to improve off-chip bandwidth utilization. Compared to the state-of-the-art software framework running on Intel Xeon CPU and NVIDIA V100 GPU, our work achieves on average 1509× speedup with 2500× energy reduction and average 6.5× speedup with 10× energy reduction, respectively.","2378-203X","978-1-7281-6149-5","10.1109/HPCA47549.2020.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065592","Hardware Accelerator, Graph Convolution Neural Network, Graph Processing, Hybrid Execution Pattern","Computer architecture;Neural networks;Engines;Parallel processing;Aggregates;Fuses;Hardware","","265","","46","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"ACR: Amnesic Checkpointing and Recovery","I. Akturk; U. R. Karpuzcu","Electrical Engineering and Computer Science, University of Missouri, Columbia, Columbia, MO, USA; Electrical and Computer Engineering, University of Minnesota, Twin Cities, Minneapolis, MN, USA",2020 IEEE International Symposium on High Performance Computer Architecture (HPCA),"16 Apr 2020","2020","","","30","43","Systematic checkpointing of the machine state makes restart of execution from a safe state possible upon detection of an error. The time and energy overhead of checkpointing, however, grows with the frequency of checkpointing. Considering the growth of expected error rates, amortizing this overhead becomes especially challenging, as checkpointing frequency tends to increase with increasing error rates. Based on the observation that due to imbalanced technology scaling, recomputing a data value can be more energy efficient than retrieving (i.e., loading) a stored copy, this paper explores how recomputation of data values (which otherwise would be read from a checkpoint from memory or secondary storage) can reduce the machine state to be checkpointed, and thereby, the checkpointing overhead. Even in a relatively small scale system, recomputation-based checkpointing can reduce the storage overhead by up to 23.91%; time overhead, by 11.92%; and energy overhead, by 12.53%, respectively.","2378-203X","978-1-7281-6149-5","10.1109/HPCA47549.2020.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065585","checkpointing;recovery;recomputation","Checkpointing;Error analysis;Time-frequency analysis;Task analysis;Memory management;Hardware;Microsoft Windows","","4","","42","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"Asymmetric Resilience: Exploiting Task-Level Idempotency for Transient Error Recovery in Accelerator-Based Systems","J. Leng; A. Buyuktosunoglu; R. Bertran; P. Bose; Q. Chen; M. Guo; V. Janapa Reddi",Shanghai Jiao Tong University; IBM T. J. Watson Research Center; IBM T. J. Watson Research Center; IBM T. J. Watson Research Center; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Harvard University,2020 IEEE International Symposium on High Performance Computer Architecture (HPCA),"16 Apr 2020","2020","","","44","57","Accelerators make the task of building systems that are re-silient against transient errors like voltage noise and soft errors hard. Architects integrate accelerators into the system as black box third-party IP components. So a fault in one or more accelerators may threaten the system's reliability if there are no established failure semantics for how an error propagates from the accelerator to the main CPU. Existing solutions that assure system reliability come at the cost of sacrificing accelerator generality, efficiency, and incur significant overhead, even in the absence of errors. To over-come these drawbacks, we examine reliability management of accelerator systems via hardware-software co-design, coupling an efficient architecture design with compiler and run-time support, to cope with transient errors. We introduce asymmetric resilience that architects reliability at the system level, centered around a hardened CPU, rather than at the accelerator level. At runtime, the system exploits task-level idempotency to contain accelerator errors and use memory protection instead of taking checkpoints to mitigate over-heads. We also leverage the fact that errors rarely occur in systems, and exploit the trade-off between error recovery performance and improved error-free performance to enhance system efficiency. Using GPUs, which are at the fore-front of accelerator systems, we demonstrate how our system architecture manages reliability in both integrated and discrete systems, under voltage-noise and soft-error related faults, leading to extremely low overhead (less than 1%) and substantial gains (20% energy savings on average).","2378-203X","978-1-7281-6149-5","10.1109/HPCA47549.2020.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065577","","Resilience;Task analysis;Reliability;Transient analysis;Acceleration;Computer architecture;Runtime","","13","","92","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"SIGMA: A Sparse and Irregular GEMM Accelerator with Flexible Interconnects for DNN Training","E. Qin; A. Samajdar; H. Kwon; V. Nadella; S. Srinivasan; D. Das; B. Kaul; T. Krishna",Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology; Intel; Intel; Intel; Georgia Institute of Technology,2020 IEEE International Symposium on High Performance Computer Architecture (HPCA),"16 Apr 2020","2020","","","58","70","The advent of Deep Learning (DL) has radically transformed the computing industry across the entire spectrum from algorithms to circuits. As myriad application domains embrace DL, it has become synonymous with a genre of workloads across vision, speech, language, recommendations, robotics, and games. The key compute kernel within most DL workloads is general matrix-matrix multiplications (GEMMs), which appears frequently during both the forward pass (inference and training) and backward pass (training). GEMMs are a natural choice for hardware acceleration to speed up training, and have led to 2D systolic architectures like NVIDIA tensor cores and Google Tensor Processing Unit (TPU). Unfortunately, emerging GEMMs in DL are highly irregular and sparse, which lead to poor data mappings on systolic architectures. This paper proposes SIGMA, a flexible and scalable architecture that offers high utilization of all its processing elements (PEs) regardless of kernel shape and sparsity. Within SIGMA includes a novel reduction tree microarchitecture named Forwarding Adder Network (FAN). SIGMA performs 5.7x better than systolic array architectures for irregular sparse matrices, and roughly 3x better than state-of-the-art sparse accelerators. We demonstrate an instance of SIGMA operating at 10.8 TFLOPS efficiency across arbitrary levels of sparsity, with a 65.10 mm^2 and 22.33 W footprint on a 28 nm process.","2378-203X","978-1-7281-6149-5","10.1109/HPCA47549.2020.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065523","","Training;Sparse matrices;Arrays;Graphics processing units;Engines;Kernel;Tensile stress","","358","","48","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"EMSim: A Microarchitecture-Level Simulation Tool for Modeling Electromagnetic Side-Channel Signals","N. Sehatbakhsh; B. B. Yilmaz; A. Zajic; M. Prvulovic",Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology,2020 IEEE International Symposium on High Performance Computer Architecture (HPCA),"16 Apr 2020","2020","","","71","85","Side-channel attacks have become a serious security concern for computing systems, especially for embedded devices, where the device is often located in, or in proximity to, a public place, and yet the system contains sensitive information. To design systems that are highly resilient to such attacks, an accurate and efficient design-stage quantitative analysis of side-channel leakage is needed. For many systems properties (e.g., performance, power, etc.), cycle-accurate simulation can provide such an efficient-yet-accurate design-stage estimate. Unfortunately, for an important class of side-channels, electromagnetic emanations, such a model does not exist, and there has not even been much quantitative evidence about what level of modeling detail (e.g., hardware, microarchitecture, etc.) would be needed for high accuracy. This paper presents EMSim, an approach that enables simulation of the electromagnetic (EM) side-channel signals cycle-by-cycle using a detailed micro-architectural model of the device. To evaluate EMSim, we compare its signals against actual EM signals emanated from real hardware (FPGA-based RISC-V processor), and find that they match very closely. To gain further insights, we also experimentally identify how the accuracy of the simulation degrades when key microarchitectural features (e.g., pipeline stall, cache-miss, etc.) and other hardware behaviors (e.g., data-dependent switching activity) are omitted from the simulation model. We further evaluate how robust the simulation-based results are, by comparing them to real signals collected in different conditions (manufacturing, distance, etc.). Finally, to show the applicability of EMSim, we demonstrate how it can be used to measure side-channel leakage through simulation at design-stage.","2378-203X","978-1-7281-6149-5","10.1109/HPCA47549.2020.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065440","Side-Channels;security;simulation;micro architecture","Hardware;Microarchitecture;Clocks;Computational modeling;Electromagnetics;Pipelines;Software","","13","","79","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"Impala: Algorithm/Architecture Co-Design for In-Memory Multi-Stride Pattern Matching","E. Sadredini; R. Rahimi; M. Lenjani; M. Stan; K. Skadron","University of Virginia, Charlottesville, VA; University of Virginia, Charlottesville, VA; University of Virginia, Charlottesville, VA; University of Virginia, Charlottesville, VA; University of Virginia, Charlottesville, VA",2020 IEEE International Symposium on High Performance Computer Architecture (HPCA),"16 Apr 2020","2020","","","86","98","High-throughput and concurrent processing of thousands of patterns on each byte of an input stream is critical for many applications with real-time processing needs, such as network intrusion detection, spam filters, virus scanners, and many more. The demand for accelerated pattern matching has motivated several recent in-memory accelerator architectures for automata processing, which is an efficient computation model for pattern matching. Our key observations are: (1) all these architectures are based on 8-bit symbol processing (derived from ASCII), and our analysis on a large set of real-world automata benchmarks reveals that the 8-bit processing dramatically under-utilizes hardware resources, and (2) multi-stride symbol processing, a major source of throughput growth, is not explored in the existing in-memory solutions. This paper presents Impala, a multi-stride in-memory automata processing architecture by leveraging our observations. The key insight of our work is that transforming 8-bit processing to 4-bit processing exponentially reduces hardware resources for state-matching and improves resource utilization. This, in turn, brings the opportunity to have a denser design, and be able to utilize more memory columns to process multiple symbols per cycle with a linear increase in state-matching resources. Impala thus introduces threefold area, throughput, and energy benefits at the expense of increased offline compilation time. Our empirical evaluations on a wide range of automata benchmarks reveal that Impala has on average 2.7× (up to 3.7×) higher throughput per unit area and 1.22× lower power consumption than Cache Automaton, which is the best performing prior work.","2378-203X","978-1-7281-6149-5","10.1109/HPCA47549.2020.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065587","In memory processing;hardware/software co design;automata processing;multi stride pattern matching;accelerators","Automata;Field programmable gate arrays;Hardware;Pattern matching;Throughput;Memory management","","31","","65","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"A Deep Reinforcement Learning Framework for Architectural Exploration: A Routerless NoC Case Study","T. -R. Lin; D. Penney; M. Pedram; L. Chen","University of Southern California, Los Angeles, California, USA; Oregon State University, Corvallis, Oregon, USA; University of Southern California, Los Angeles, California, USA; Oregon State University, Corvallis, Oregon, USA",2020 IEEE International Symposium on High Performance Computer Architecture (HPCA),"16 Apr 2020","2020","","","99","110","Machine learning applied to architecture design presents a promising opportunity with broad applications. Recent deep reinforcement learning (DRL) techniques, in particular, enable efficient exploration in vast design spaces where conventional design strategies may be inadequate. This paper proposes a novel deep reinforcement framework, taking routerless networks-on-chip (NoC) as an evaluation case study. The new framework successfully resolves problems with prior design approaches, which are either unreliable due to random searches or inflexible due to severe design space restrictions. The framework learns (near-)optimal loop placement for routerless NoCs with various design constraints. A deep neural network is developed using parallel threads that efficiently explore the immense routerless NoC design space with a Monte Carlo search tree. Experimental results show that, compared with conventional mesh, the proposed deep reinforcement learning (DRL) routerless design achieves a 3.25x increase in throughput, 1.6x reduction in packet latency, and 5x reduction in power. Compared with the state-of-the-art routerless NoC, DRL achieves a 1.47x increase in throughput, 1.18x reduction in packet latency, 1.14x reduction in average hop count, and 6.3% lower power consumption.","2378-203X","978-1-7281-6149-5","10.1109/HPCA47549.2020.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065600","machine learning;network-on-chip;routerless","Machine learning;Learning (artificial intelligence);Throughput;Space exploration;Wiring;Complexity theory;Computer architecture","","23","","49","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"IRONHIDE: A Secure Multicore that Efficiently Mitigates Microarchitecture State Attacks for Interactive Applications","H. Omar; O. Khan","University of Connecticut, Storrs, CT, USA; University of Connecticut, Storrs, CT, USA",2020 IEEE International Symposium on High Performance Computer Architecture (HPCA),"16 Apr 2020","2020","","","111","122","Microprocessors enable aggressive hardware virtualization by means of which multiple processes temporally execute on the system. These security-critical and ordinary processes interact with each other to assure application progress. However, temporal sharing of hardware resources exposes the processor to various microarchitecture state attacks. State-of-the-art secure processors, such as MI6 adopt Intel's SGX enclave execution model. MI6 architects strong isolation by statically isolating shared memory state, and purging the microarchitecture state of private core, cache, and TLB resources on every enclave entry and exit. The purging overhead significantly impacts performance as the interactivity across the secure and insecure processes increases. This paper proposes IRONHIDE that implements strong isolation in the context of multicores to form spatially isolated secure and insecure clusters of cores. For an interactive application comprising of secure and insecure processes, IRONHIDE pins the secure process(es) to the secure cluster, where they execute and interact with the insecure process(es) without incurring the microarchitecture state purging overheads on every interaction event. IRONHIDE improves performance by 2.1x over the MI6 baseline for a set of user and OS interactive applications. Moreover, IRONHIDE improves performance by 20% over an SGX-like baseline, while also ensuring strong isolation guarantees against microarchitecture state attacks.","2378-203X","978-1-7281-6149-5","10.1109/HPCA47549.2020.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065326","","Multicore processing;Microarchitecture;Hardware;Security;Monitoring;Process control","","19","","50","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"A New Side-Channel Vulnerability on Modern Computers by Exploiting Electromagnetic Emanations from the Power Management Unit","N. Sehatbakhsh; B. B. Yilmaz; A. Zajic; M. Prvulovic",Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology,2020 IEEE International Symposium on High Performance Computer Architecture (HPCA),"16 Apr 2020","2020","","","123","138","This paper presents a new micro-architectural vulnerability on the power management units of modern computers which creates an electromagnetic-based side-channel. The key observations that enable us to discover this sidechannel are: 1) in an effort to manage and minimize power consumption, modern microprocessors have a number of possible operating modes (power states) in which various sub-systems of the processor are powered down, 2) for some of the transitions between power states, the processor also changes the operating mode of the voltage regulator module (VRM) that supplies power to the affected sub-system, and 3) the electromagnetic (EM) emanations from the VRM are heavily dependent on its operating mode. As a result, these state-dependent EM emanations create a side-channel which can potentially reveal sensitive information about the current state of the processor and, more importantly, the programs currently being executed. To demonstrate the feasibility of exploiting this vulnerability, we create a covert channel by utilizing the changes in the processor's power states. We show how such a covert channel can be leveraged to exfiltrate sensitive information from a secured and completely isolated (air-gapped) laptop system by placing a compact, inexpensive receiver in proximity to that system. To further show the severity of this attack, we also demonstrate how such a covert channel can be established when the target and the receiver are several meters away from each other, including scenarios where the receiver and the target are separated by a wall. Compared to the state-of-the-art, the proposed covert channel has >3x higher bit-rate. Finally, to demonstrate that this new vulnerability is not limited to being used as a covert channel, we demonstrate how it can be used for attacks such as keystroke logging.","2378-203X","978-1-7281-6149-5","10.1109/HPCA47549.2020.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065580","Side-Channel;Microarchitecture Vulnerability;DVFS;Power Management.","Switches;Voltage control;Regulators;Capacitors;Power system management;Phasor measurement units;Receivers","","25","","101","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
