"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Graphene: Strong yet Lightweight Row Hammer Protection","Y. Park; W. Kwon; E. Lee; T. J. Ham; J. Ho Ahn; J. W. Lee",Seoul National University; Seoul National University; Seoul National University; Seoul National University; Seoul National University; Seoul National University,2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),"11 Nov 2020","2020","","","1","13","Row Hammer is a serious security threat to modern computing systems using DRAM as main memory. It causes charge loss in DRAM cells adjacent to a frequently activated aggressor row and eventually leads to data bit flips in those cells. Even with countermeasures from hardware vendors for years, many latest DDR4 DRAM-based systems are still vulnerable to Row Hammer. Furthermore, technology scaling continues to reduce the Row Hammer threshold, hence posing even greater challenges than before. Although many architectural solutions for Row Hammer have been proposed in both industry and academia, they still incur substantial overhead in terms of chip area, energy, and performance, fail to provide a sufficient level of protection, or both. Thus, we propose Graphene, a low-cost Row Hammer prevention technique based on a space-efficient algorithm that identifies frequent elements from an incoming data stream. Graphene is provably secure without false negatives and with tightly bounded false positives. Furthermore, Graphene has an order of magnitude smaller area overhead compared to a state-of-the-art counter-based scheme. This makes Graphene a scalable solution to Row Hammer attacks for the memory systems of today and the future. Our evaluation shows that Graphene features nearly zero performance and energy overhead when running realistic workloads. Even for the most adversarial memory access patterns, Graphene increases refresh energy only by 0.34%.","","978-1-7281-7383-2","10.1109/MICRO50266.2020.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251863","","Industries;Microarchitecture;Graphene;Random access memory;Hardware;Security","","73","","56","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
"Persist Level Parallelism: Streamlining Integrity Tree Updates for Secure Persistent Memory","A. Freij; S. Yuan; H. Zhou; Y. Solihin","Dept. of Electrical & Computer Engineering, North Carolina State University; Dept. of Electrical & Computer Engineering, North Carolina State University; Dept. of Electrical & Computer Engineering, North Carolina State University; Dept. of Computer Science, University of Central Florida",2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),"11 Nov 2020","2020","","","14","27","Emerging non-volatile main memory (NVMM) is rapidly being integrated into computer systems. However, NVMM is vulnerable to potential data remanence and replay attacks. Memory encryption and integrity verification have been introduced to protect against such data integrity attacks. However, they are not compatible with a growing use of NVMM for providing crash recoverable persistent memory. Recent works on secure NVMM pointed out the need for data and its metadata, including the counter, the message authentication code (MAC), and the Bonsai Merkle Tree (BMT) to be persisted atomically. However, memory persistency models have been overlooked for secure NVMM, which is essential for crash recoverability.In this work, we analyze the invariants that need to be ensured in order to support crash recovery for secure NVMM. We highlight that by not adhering to these invariants, prior research has substantially under-estimated the cost of BMT persistence. We propose several optimization techniques to reduce the overhead of atomically persisting updates to BMTs. The optimizations proposed explore the use of pipelining, out-of-order updates, and update coalescing while conforming to strict or epoch persistency models, respectively. We evaluate our work and show that our proposed optimizations significantly reduce the performance overhead of secure crash-recoverable NVMM from 720% to just 20%.","","978-1-7281-7383-2","10.1109/MICRO50266.2020.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251985","persistency;security;integrity tree update;persist-level parallelism","Out of order;Nonvolatile memory;Computational modeling;Metadata;Computer crashes;Encryption;Optimization","","20","","68","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
"PThammer: Cross-User-Kernel-Boundary Rowhammer through Implicit Accesses","Z. Zhang; Y. Cheng; D. Liu; S. Nepal; Z. Wang; Y. Yarom","University of New South Wales, Australia; Baidu Security; Data61, CSIRO, Australia; Data61, CSIRO, Australia; Florida State University, America; Data61, CSIRO, Australia",2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),"11 Nov 2020","2020","","","28","41","Rowhammer is a hardware vulnerability in DRAM memory, where repeated access to memory can induce bit flips in neighboring memory locations. Being a hardware vulnerability, rowhammer bypasses all of the system memory protection, allowing adversaries to compromise the integrity and confidentiality of data. Rowhammer attacks have shown to enable privilege escalation, sandbox escape, and cryptographic key disclosures.Recently, several proposals suggest exploiting the spatial proximity between the accessed memory location and the location of the bit flip for a defense against rowhammer. These all aim to deny the attacker's permission to access memory locations near sensitive data.In this paper, we question the core assumption underlying these defenses. We present PThammer, a confused-deputy attack that causes accesses to memory locations that the attacker is not allowed to access. Specifically, PThammer exploits the address translation process of modern processors, inducing the processor to generate frequent accesses to protected memory locations. We implement PThammer, demonstrating that it is a viable attack, resulting in a system compromise (e.g., kernel privilege escalation). We further evaluate the effectiveness of proposed software-only defenses showing that PThammer can overcome those.","","978-1-7281-7383-2","10.1109/MICRO50266.2020.00016","Australian Research Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251982","Rowhammer;Confused-deputy Attack;Address Translation;Privilege Escalation","Program processors;Microarchitecture;Random access memory;Hardware;Proposals;Cryptography;Kernel","","47","","60","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
"Draco: Architectural and Operating System Support for System Call Security","D. Skarlatos; Q. Chen; J. Chen; T. Xu; J. Torrellas",University of Illinois at Urbana-Champaign; University of Illinois at Urbana-Champaign; University of Illinois at Urbana-Champaign; University of Illinois at Urbana-Champaign; University of Illinois at Urbana-Champaign,2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),"11 Nov 2020","2020","","","42","57","System call checking is extensively used to protect the operating system kernel from user attacks. However, existing solutions such as Seccomp execute lengthy rule-based checking programs against system calls and their arguments, leading to substantial execution overhead.To minimize checking overhead, this paper proposes Draco, a new architecture that caches system call IDs and argument values after they have been checked and validated. System calls are first looked-up in a special cache and, on a hit, skip all checks. We present both a software and a hardware implementation of Draco. The latter introduces a System Call Lookaside Buffer (SLB) to keep recently-validated system calls, and a System Call Target Buffer to preload the SLB in advance. In our evaluation, we find that the average execution time of macro and micro benchmarks with conventional Seccomp checking is 1.14× and 1.25× higher, respectively, than on an insecure baseline that performs no security checks. With our software Draco, the average execution time reduces to 1.10× and 1.18× higher, respectively, than on the insecure baseline. With our hardware Draco, the execution time is within 1% of the insecure baseline.","","978-1-7281-7383-2","10.1109/MICRO50266.2020.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251949","System call checking;Security;Operating system;Containers;Virtualization;Microarchitecture","Microarchitecture;Computer architecture;Benchmark testing;Software;Hardware;Security;Kernel","","10","","115","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
"SuperNPU: An Extremely Fast Neural Processing Unit Using Superconducting Logic Devices","K. Ishida; I. Byun; I. Nagaoka; K. Fukumitsu; M. Tanaka; S. Kawakami; T. Tanimoto; T. Ono; J. Kim; K. Inoue","Graduate School and Faculty of Information Science and Electrical Engineering, Kyushu University; Department of Electrical and Computer Engineering, Seoul National University; Department of Electronics, Nagoya University; Graduate School and Faculty of Information Science and Electrical Engineering, Kyushu University; Department of Electronics, Nagoya University; Graduate School and Faculty of Information Science and Electrical Engineering, Kyushu University; Graduate School and Faculty of Information Science and Electrical Engineering, Kyushu University; Graduate School and Faculty of Information Science and Electrical Engineering, Kyushu University; Department of Electrical and Computer Engineering, Seoul National University; Graduate School and Faculty of Information Science and Electrical Engineering, Kyushu University",2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),"11 Nov 2020","2020","","","58","72","Superconductor single-flux-quantum (SFQ) logic family has been recognized as a highly promising solution for the post-Moore's era, thanks to its ultra-fast and low-power switching characteristics. Therefore, researchers have made a tremendous amount of effort in various aspects to promote the technology and automate its circuit design process (e.g., low-cost fabrication, design tool development). However, there has been no progress in designing a convincing SFQ-based architectural unit due to the architects' lack of understanding of the technology's potentials and limitations at the architecture level. In this paper, we present how to architect an SFQ-based architectural unit by providing design principles with an extreme-performance neural processing unit (NPU). To achieve the goal, we first implement an architecture-level simulator to model an SFQ-based NPU accurately. We validate this model using our die-level prototypes, design tools, and logic cell library. This simulator accurately measures the NPU's performance, power consumption, area, and cooling overheads. Next, driven by the modeling, we identify key architectural challenges for designing a performance-effective SFQ-based NPU (e.g., expensive on-chip data movements and buffering). Lastly, we present SuperNPU, our example SFQ-based NPU architecture, which effectively resolves the challenges. Our evaluation shows that the proposed design outperforms a conventional state-of-the-art NPU by 23 times. With free cooling provided as done in quantum computing, the performance per chip power increases up to 490 times. Our methodology can also be applied to other architecture designs with SFQ-friendly characteristics.","","978-1-7281-7383-2","10.1109/MICRO50266.2020.00018","National Research Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251979","Single flux quantum (SFQ);Cryogenic computing;Modeling;Simulation","Superconducting devices;Quantum computing;Superconducting logic circuits;Cooling;Computer architecture;Tools;Design tools","","47","","71","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
"Printed Machine Learning Classifiers","M. H. Mubarik; D. D. Weller; N. Bleier; M. Tomei; J. Aghassi-Hagmann; M. B. Tahoori; R. Kumar",University of Illinois Urbana-Champaign; Karlsruhe Institute of Technology; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Applied Sciences Offenburg; Karlsruhe Institute of Technology; University of Illinois Urbana-Champaign,2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),"11 Nov 2020","2020","","","73","87","A large number of application domains have requirements on cost, conformity, and non-toxicity that silicon-based computing systems cannot meet, but that may be met by printed electronics. For several of these domains, a typical computational task to be performed is classification. In this work, we explore the hardware cost of inference engines for popular classification algorithms (Multi-Layer Perceptrons, Support Vector Machines (SVMs), Logistic Regression, Random Forests and Binary Decision Trees) in EGT and CNT-TFT printed technologies and determine that Decision Trees and SVMs provide a good balance between accuracy and cost. We evaluate conventional Decision Tree and SVM architectures in these technologies and conclude that their area and power overhead must be reduced. We explore, through SPICE and gate-level hardware simulations and multiple working prototypes, several classifier architectures that exploit the unique cost and implementation tradeoffs in printed technologies - a) Bespoke printed classifers that are customized to a model generated for a given application using specific training datasets, b) Lookup-based printed classifiers where key hardware computations are replaced by lookup tables, and c) Analog printed classifiers where some classifier components are replaced by their analog equivalents. Our evaluations show that bespoke implementation of EGT printed Decision Trees has 48.9× lower area (average) and 75.6× lower power (average) than their conventional equivalents; corresponding benefits for bespoke SVMs are 12.8× and Decision outperform 12.7× respectively. Lookup-based Trees their non-lookup bespoke equivalents by 38% and 70%; lookup-based SVMs are better by 8% and 0.6%. Analog printed Decision Trees provide 437× area and 27× power benefits over digital bespoke counterparts; analog SVMs yield 490× area and 12× power improvements. Our results and prototypes demonstrate feasibility of fabricating and deploying battery and self-powered printed classifiers in the application domains of interest.","","978-1-7281-7383-2","10.1109/MICRO50266.2020.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251954","printed electronics;machine learning","Support vector machines;Prototypes;Computer architecture;SPICE;Hardware;Decision trees;Task analysis","","30","","80","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
"Look-Up Table based Energy Efficient Processing in Cache Support for Neural Network Acceleration","A. K. Ramanathan; G. S. Kalsi; S. Srinivasa; T. M. Chandran; K. R. Pillai; O. J. Omer; V. Narayanan; S. Subramoney","The Pennsylvania State University; Processor Architecture Research Lab, Intel labs; The Pennsylvania State University; The Pennsylvania State University; Processor Architecture Research Lab, Intel labs; Processor Architecture Research Lab, Intel labs; The Pennsylvania State University; Processor Architecture Research Lab, Intel labs",2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),"11 Nov 2020","2020","","","88","101","This paper presents a Look-Up Table (LUT) based Processing-In-Memory (PIM) technique with the potential for running Neural Network inference tasks. We implement a bitline computing free technique to avoid frequent bitline accesses to the cache sub-arrays and thereby considerably reducing the memory access energy overhead. LUT in conjunction with the compute engines enables sub-array level parallelism while executing complex operations through data lookup which otherwise requires multiple cycles. Sub-array level parallelism and systolic input data flow ensure data movement to be confined to the SRAM slice.Our proposed LUT based PIM methodology exploits substantial parallelism using look-up tables, which does not alter the memory structure/organization, that is, preserving the bit-cell and peripherals of the existing SRAM monolithic arrays. Our solution achieves 1.72× higher performance and 3.14x lower energy as compared to a state-of-the-art processing-in-cache solution. Sub-array level design modifications to incorporate LUT along with the compute engines will increase the overall cache area by 5.6%. We achieve 3.97x speedup w.r.t neural network systolic accelerator with a similar area. The re-configurable nature of the compute engines enables various neural network operations and thereby supporting sequential networks (RNNs) and transformer models. Our quantitative analysis demonstrates 101×, 3× faster execution and 91×, 11× energy efficient than CPU and GPU respectively while running the transformer model, BERT-Base.","","978-1-7281-7383-2","10.1109/MICRO50266.2020.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251975","Processing-in-memory;SRAM;Look-up table;Neural networks","Computational modeling;Neural networks;Parallel processing;Energy efficiency;Table lookup;Task analysis;Engines","","29","","58","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
"FReaC Cache: Folded-logic Reconfigurable Computing in the Last Level Cache","A. Dhar; X. Wang; H. Franke; J. Xiong; J. Huang; W. -m. Hwu; N. S. Kim; D. Chen","University of Illinois, Urbana, Champaign; University of Illinois, Urbana, Champaign; IBM Research; IBM Research; University of Illinois, Urbana, Champaign; University of Illinois, Urbana, Champaign; University of Illinois, Urbana, Champaign; University of Illinois, Urbana, Champaign",2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),"11 Nov 2020","2020","","","102","117","The need for higher energy efficiency has resulted in the proliferation of accelerators across platforms, with custom and reconfigurable accelerators adopted in both edge devices and cloud servers. However, existing solutions fall short in providing accelerators with low-latency, high-bandwidth access to the working set and suffer from the high latency and energy cost of data transfers. Such costs can severely limit the smallest granularity of the tasks that can be accelerated and thus the applicability of the accelerators. In this work, we present FReaC Cache, a novel architecture that natively supports reconfigurable computing in the last level cache (LLC), thereby giving energy-efficient accelerators low-latency, high-bandwidth access to the working set. By leveraging the cache's existing dense memory arrays, buses, and logic folding, we construct a reconfigurable fabric in the LLC with minimal changes to the system, processor, cache, and memory architecture. FReaC Cache is a low-latency, low-cost, and low-power alternative to off-die/offchip accelerators, and a flexible, and low-cost alternative to fixed function accelerators. We demonstrate an average speedup of 3X and Perf/W improvements of 6.1X over an edge-class multi-core CPU, and add 3.5% to 15.3% area overhead per cache slice.","","978-1-7281-7383-2","10.1109/MICRO50266.2020.00021","Xilinx; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251953","Reconfigurable Computing;Near Memory Acceleration;In Cache Computing;Logic Folding","Performance evaluation;Microarchitecture;Multicore processing;Energy efficiency;Acceleration;Servers;Task analysis","","4","","73","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
"BranchNet: A Convolutional Neural Network to Predict Hard-To-Predict Branches","S. Zangeneh; S. Pruett; S. Lym; Y. N. Patt",University of Texas at Austin; University of Texas at Austin; Nvidia; University of Texas at Austin,2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),"11 Nov 2020","2020","","","118","130","The state-of-the-art branch predictor, TAGE, remains inefficient at identifying correlated branches deep in a noisy global branch history. We argue this inefficiency is a fundamental limitation of runtime branch prediction and not a coincidental artifact due to the design of TAGE. To further improve branch prediction, we need to relax the constraint of runtime only training and adopt more sophisticated prediction mechanisms. To this end, Tarsa et al. proposed using convolutional neural networks (CNNs) that are trained at compile-time to accurately predict branches that TAGE cannot. Given enough profiling coverage, CNNs learn input-independent branch correlations that can accurately predict branches when running a program with unseen inputs. We build on their work and introduce BranchNet, a CNN with a practical on-chip inference engine tailored to the needs of branch prediction. At runtime, BranchNet predicts a few hard-to-predict branches, while TAGE-SC-L predicts the remaining branches. This hybrid approach reduces the MPKI of SPEC2017 Integer benchmarks by 7.6% (and up to 15.7%) when compared to a very large (impractical) MTAGE-SC baseline, demonstrating a fundamental advantage in the prediction capabilities of BranchNet compared to TAGE-like predictors. We also propose a practical resource-constrained variant of BranchNet that improves the MPKI by 9.6% (and up to 17.7%) compared to a 64KB TAGE-SC-L without increasing the prediction latency.","","978-1-7281-7383-2","10.1109/MICRO50266.2020.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251928","","Training;Deep learning;Runtime;Correlation;History;Convolutional neural networks;Noise measurement","","36","","55","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
"CHiRP: Control-Flow History Reuse Prediction","S. Mirbagher-Ajorpaz; E. Garza; G. Pokam; D. A. Jiménez","Computer Science and Engineering, Texas A&M University, College Station, USA; Computer Science and Engineering, Texas A&M University, College Station, USA; Intel Labs, Santa Clara, USA; Computer Science and Engineering, Texas A&M University, College Station, USA",2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),"11 Nov 2020","2020","","","131","145","Translation Lookaside Buffers (TLBs) play a critical role in hardware-supported memory virtualization. To speed up address translation and reduce costly page table walks, TLBs cache a small number of recently-used virtual-to-physical address translations. TLBs must make the best use of their limited capacities. Thus, TLB entries with low potential for reuse should be replaced by more useful entries. This paper contributes to an aspect of TLB management that has received little attention in the literature: replacement policy. We show how predictive replacement policies can be tailored toward TLBs to reduce miss rates and improve overall performance. We begin by applying recently proposed predictive cache replacement policies to the TLB. We show these policies do not work well without considering specific TLB behavior. Next, we introduce a novel TLB-focused predictive policy, Control-flow History Reuse Prediction (CHIRP). This policy uses a history signature and replacement algorithm that correlates to known TLB behavior, outperforming other policies. For a 1024-entry 8-way set-associative L2 TLB with a 4KB page size, we show that CHiRP reduces misses per 1000 instructions (MPKI) by an average 28.21% over the least-recently-used (LRU) policy, outperforming Static Re-reference Interval Prediction (SRRIP) [1], Global History Reuse Policy (GHRP) [2] and SHiP [3], which reduce MPKI by an average of 10.36%, 9.03% and 0.88%, respectively.","","978-1-7281-7383-2","10.1109/MICRO50266.2020.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251943","Translation Lookaside Buffers;Replacement Policies;Paging;Microarchitectures","Microarchitecture;Chirp;Prediction algorithms;History;Virtualization;Marine vehicles","","9","","110","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
